n,x1,x2,y1,y2
122,-178.56600491522912,-555.0579952353688,-203.71540657869485,-546.2040463769965
123,-180.57820539850536,-567.2982846836563,-204.83637048789254,-542.7403340626665
124,-182.51497355732891,-579.6908913205822,-165.12210108323873,-537.881637736668
125,-184.34511152255956,-592.2153358587157,-205.00237144817123,-609.7848023899614
126,-186.04913395420218,-604.8960956216117,-181.54648414158993,-650.5624975092153
127,-187.61064138841584,-617.759323852992,-173.8593837748935,-639.5984333449231
128,-189.03994301724856,-630.8193259705309,-132.99201034769058,-645.80405516626
129,-190.32293776416023,-644.1024006688285,-240.87350808155935,-621.789868461457
130,-191.4767589325635,-657.5940611069097,-172.7326118320263,-619.8745696245674
131,-192.5189025558802,-671.2638988932961,-186.5304255056652,-651.097926196153
132,-193.4439614125655,-685.1022284016541,-140.14341491788497,-671.3195062921235
133,-194.26483220330073,-699.0844973037682,-143.55327245227855,-707.3086684473224
134,-194.9960831467047,-713.2211587667524,-188.5157415662751,-714.879447430461
135,-195.62316146858046,-727.5209510624125,-200.23671032726193,-764.6303949826129
136,-196.1580428786045,-741.9752325634237,-184.25146755481765,-754.8669667128747
137,-196.63980089260002,-756.583426596809,-217.00519285917267,-723.5977430062163
138,-197.10321823516267,-771.3358725162341,-202.03348448817005,-784.4618503510653
139,-197.56395012928613,-786.2176819210985,-206.241564718289,-784.8825342546726
140,-198.02971826543668,-801.2293777422902,-167.14818441555153,-762.6155247660067
141,-198.5039020472072,-816.3644353477229,-203.67136016167592,-844.7801160231207
142,-198.99464400409133,-831.6296984636078,-224.76187557539754,-842.5865056402272
143,-199.50123740307498,-847.0444509893349,-206.65155322126333,-860.6457722076439
144,-200.04917026312225,-862.6160016661299,-236.8672894088959,-876.4356162878177
145,-200.64024642797978,-878.338292280885,-153.91468399174707,-918.4874287394879
146,-201.2621160466448,-894.2027891179331,-217.98659169981534,-912.8228847359188
147,-201.90577851220954,-910.1983398528859,-161.24939886309787,-887.3207129387636
