t,x1_100,x2_100,x1_990,x2_990,x1_950,x2_950,x1_925,x2_925,x1_900,x2_900
55,11.448944704565996,11.461922899944437,10.851576121176128,10.875955476923409,8.462795473301746,8.51578694316924,7.149640000769967,7.208923747892223,6.0523083536141415,6.112634490986462
56,11.894250412614861,11.953085686572331,11.264693957895624,11.332696131444964,8.752343296144916,8.839440543707397,7.3781431805432485,7.466154047403759,6.234750195802841,6.319343566576404
57,12.34805073362083,12.454945378571935,11.685238152399293,11.798932664160589,9.045611176549773,9.168489732447213,7.608973373858486,7.727281951541427,6.418713150634521,6.529128882450652
58,12.810442130879698,12.967372137754133,12.11328437423889,12.274500280511052,9.342647039947726,9.502620936836676,7.842193519015504,7.991890456311544,6.604272380863356,6.741449872442897
59,13.281877816906656,13.490536479690928,12.54932589626093,12.759581049271576,9.644209723662753,9.842113866790974,8.0787791546516,8.260344910571195,6.792621224610352,6.956750936530256
60,13.762407210561758,14.024485837717677,12.993389207069681,13.25420913000974,9.950235082259365,10.18696615391212,8.318590276883505,8.532630170118132,6.983513580187467,7.175001896028688
61,14.25224298996435,14.569306821267785,13.44570086147744,13.75847447360243,10.261066381831185,10.537345027675771,8.562072064129687,8.809004995484523,7.177501630666042,7.396563787694561
62,14.750828494940462,15.124701954239365,13.905608845234942,14.272014014099847,10.575634772322076,10.892584265764096,8.807882459379465,9.088591460945882,7.372959525648417,7.620329318678948
63,15.258457623501391,15.690671741191496,14.373446238647823,14.79482468248151,10.89450333657807,11.252714126759349,9.056757106348725,9.371469820358337,7.570794882877666,7.846431423160647
64,15.775260219430818,16.267231160575797,14.849359216707903,15.32692390233458,11.217933698139216,11.617814534772801,9.309048050965039,9.657789066579957,7.771446803903838,8.075090697474812
65,16.3011019589017,16.854046977890697,15.333192562481322,15.867922801866628,11.545682134006526,11.987250413406436,9.564438715905926,9.94674681672131,7.974505652644839,8.305326860586188
66,16.835815580519665,17.45117909810484,15.824762196060744,16.417898681478825,11.87752017650474,12.361256323625437,9.82268162002424,10.238728852166336,8.179701691388084,8.537692007359778
67,17.379372113193106,18.058618497552548,16.324035508694323,16.976836625902855,12.213415890602125,12.739821889765132,10.083747815385879,10.53373534504299,8.387006411147402,8.772187207138394
68,17.931742782889756,18.676516031064523,16.830977283258207,17.54491559884191,12.553296963320578,13.123326808656712,10.347519126901174,10.832320188685886,8.5962334482581,9.009551760860612
69,18.493026250786798,19.30470992867215,17.345692068943794,18.121940669471197,12.897294578936195,13.511435141666814,10.614144172735159,11.134045712914459,8.807553053151132,9.249230183466135
70,19.063424640108863,19.94296146349221,17.868397963082653,18.707640657532394,13.245699792169649,13.903749812167565,10.883954720260606,11.438427163424144,9.021326593088117,9.490632099918992
71,19.643005768762873,20.591363290852417,18.3991537937663,19.30213311717413,13.59854667455709,14.300572334936673,11.156984166097432,11.745923241481496,9.237595153930124,9.734382718856933
72,20.23182399811271,21.249903869028152,18.937994592100786,19.90540817548073,13.955770053013321,14.701931998585916,11.433093225865099,12.056592559328804,9.456141114211174,9.980562185598936
