t,x1_est,x2_est,x3_est,x4_est,x5_est,x6_est,x1_std,x2_std,x3_std,x4_std,x5_std,x6_std,x1_real,x2_real,x3_real,x4_real,reset
317,31.96421680447881,38.30526396791211,-0.01817767139367102,0.3628877738040449,-0.017697751073786273,0.032767786953541975,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,32.78907238291858,36.43822278777987,0.15635255213627094,0.004255291065302912,0.0
318,31.167246284361507,38.06440382610085,-0.18609066182638057,0.2746685131529474,-0.032351166725749524,0.020965565656816176,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,32.94481093753654,36.44269015703488,0.15613534752288158,0.003067121871072561,0.0
319,32.04209825164927,38.19401060753335,-0.008297226165783628,0.2652875116599259,-0.011851674005001409,0.01800527438440894,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.10678067009895,36.43901971899264,0.16221686013004902,-0.011078937057364988,0.0
320,32.921881660396444,38.06169428852729,0.15427079898131946,0.20396430238674396,0.005162873656566085,0.010266823551886257,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.26190206155203,36.42413155388177,0.1505432396322473,-0.014684830417986648,0.0
321,32.863235781988664,37.1390978774261,0.11739022280792004,-0.006561178213051161,0.0010615577818904763,-0.011271346738271376,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.401308501731286,36.40422258224124,0.12374148436902294,-0.02599006761985334,0.0
322,32.86165522884394,37.56540775998573,0.09513715603304329,0.06771966627758044,-0.0012127712799131002,-0.0029257765859785,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.52069704996451,36.379161613219814,0.1207756794887001,-0.029476474168898363,0.0
323,33.5775267565576,37.05920339871682,0.21514729685420236,-0.04689266160476209,0.01061245847133781,-0.01382073947965323,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.64236250929246,36.34534580607871,0.12856229076984943,-0.03519075800543005,0.0
324,33.92098241662966,36.39300520298196,0.24975733909948483,-0.1801910376459264,0.012953409836746203,-0.025475718542508366,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.763907614111524,36.30094366415044,0.1140610600506497,-0.05738618272762393,0.0
325,34.46008273533699,35.65429728111716,0.31789765426803107,-0.31214765574046344,0.01833686271292321,-0.03586287291372787,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.87122458762145,36.243782262848036,0.10428990392651842,-0.0576207186727402,0.0
326,34.788212817997064,35.52302632170307,0.33644210165586935,-0.3092232762143424,0.018357112486098618,-0.03207919733976908,0.7398816025263241,0.7398816025263241,0.18305174172824737,0.18305174172824737,0.030436243837498052,0.030436243837498052,33.96468898132876,36.18949493833902,0.08970576054767057,-0.04515273202496059,0.0
