t,x1_est,x2_est,x3_est,x4_est,x1_std,x2_std,x3_std,x4_std,x1_real,x2_real,reset
336,-24.122289573600877,-45.85522257829947,1.2472229252236793,1.17289903497874,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-22.69317936080284,-43.17265933667056,0.0
337,-21.955460957430983,-41.52442364059771,2.085054388134231,4.049988554184701,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-19.192769020427132,-42.008174208109054,0.0
338,-16.58778315359192,-39.81177426334828,5.075776613585595,1.9204929222961447,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-16.38757674369115,-41.563780457987534,0.0
339,-11.499365025035386,-47.533615446649556,5.08729400531749,-6.864414532172269,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-12.456316057216107,-47.48481653014827,0.0
340,-9.878742579795396,-47.76066858661916,1.9288897748895537,-0.8172681738529102,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-10.901275629695345,-46.51586786844144,0.0
341,-8.261076562386387,-45.35494958727731,1.645341011990811,2.119120851188084,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-7.765938996565652,-46.49948240592106,0.0
342,-3.7862485318507035,-45.26764366961974,4.223221152765748,0.2679812868256717,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-2.443343091066935,-46.02907951398646,0.0
343,-2.480853999428508,-45.16155039864609,1.5648568452043183,0.12048886210021167,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-3.240062606597661,-47.73454346276451,0.0
344,0.262382279855198,-44.72588091002225,2.6384510767739258,0.4076426368116872,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-1.445207494642901,-44.06110799792535,0.0
345,-2.4992993997886295,-39.888226649524235,-2.28148490422827,4.443723704953897,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-2.6475406203403287,-41.14833390316042,0.0
346,-3.631068750249989,-44.31984630834101,-1.2340056706532763,-3.642396234832712,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-2.4554032698663084,-45.11393764593936,0.0
347,-4.218417032999197,-46.914639919464214,-0.6448510898980027,-2.6879497286694476,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-5.522400257217937,-46.919018375376425,0.0
348,-5.090422021244358,-49.44855481054826,-0.8518057497394507,-2.5476121529193714,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-3.9334136310683476,-49.028800198398784,0.0
349,-6.029856841635297,-50.68875524979143,-0.9316425680413104,-1.3564595975576972,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-6.494868596365833,-51.0066728504881,0.0
350,-7.20965735836979,-55.564910823138355,-1.157733532063684,-4.56317314601522,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-6.978049874064739,-56.88120560269712,0.0
351,-5.582420355311346,-59.87731594120896,1.3795886708940828,-4.33470419919101,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-4.962508285785956,-58.94791896160353,0.0
352,-2.191774046043348,-61.38543089401769,3.2118167440180887,-1.75946415157129,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-3.291600162738268,-60.323118021923094,0.0
353,-3.8093802240798174,-56.92649293699243,-1.1881587146324462,3.9059780992816497,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-3.786255527699788,-58.533973138525916,0.0
354,-5.5486022546812,-59.512022895493935,-1.6902197487475512,-2.008284661480431,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-6.173599019443788,-62.28133422914951,0.0
355,-3.526552362374565,-57.63538519817525,1.6919432094683755,1.5311781922318741,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-4.067272253071013,-58.40778320357788,0.0
356,-2.002994735923766,-55.761971588564535,1.5385310016692904,1.8429809607720347,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-4.842784135034437,-56.12400234694435,0.0
357,-5.8744750432871555,-58.37904339853827,-3.390405100004502,-2.2204699012243547,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-4.577806961018019,-58.869776790998344,0.0
358,-7.775717083175634,-61.00733373192328,-2.0336630991088898,-2.592025658921334,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-8.417732375766981,-60.559454993189384,0.0
359,-10.282882389261617,-70.88904117507211,-2.465060001790949,-9.233486029993475,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-12.507666247638896,-70.49587899668052,0.0
360,-8.12261316931367,-68.8812019761203,1.7489704097705951,1.0082252320688987,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-7.5852540435689475,-66.20605433989809,0.0
361,-9.085470856713592,-66.38446033605257,-0.7217134106791332,2.3643780831857777,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-9.2989094891607,-66.564450052236,0.0
362,-12.634272437979604,-66.75969032810076,-3.297408016595235,-0.13161543237531648,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-12.385643736654874,-67.02010587035105,0.0
363,-10.576663976764861,-67.15640838334213,1.5814235670775578,-0.37314429689196404,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-9.7249411771393,-66.25279404562116,0.0
364,-6.758844148908281,-66.95814000591376,3.6189524441425007,0.14745656667906104,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-7.212186569015991,-66.39001868204966,0.0
365,-4.59208415149922,-61.31164703715261,2.2958935135018796,5.157501370353811,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-5.345903415823938,-62.16579013644103,0.0
366,-1.4937005208978775,-66.77645421722593,3.027023687445122,-4.52023812159561,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-1.4279890669106599,-64.63824989044424,0.0
367,-1.528530201836405,-67.50105577337385,0.23743994290465187,-1.0621214878961203,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-1.7594469697140664,-65.3308489702446,0.0
368,-5.86507654188664,-63.50125300640819,-3.9298131053423258,3.5496805543786323,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-6.566430202124529,-64.53395452844352,0.0
369,-5.5334880249850364,-63.30717905544868,-0.047348707432417037,0.49246503562498045,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-7.4525833516852895,-63.31106980956651,0.0
370,-5.416719704732061,-64.22437801596398,0.10217451838918815,-0.7918472079011643,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-5.476814296206587,-65.88232689827217,0.0
371,-4.150513583663215,-66.42352327280223,1.1626967728173097,-2.0740038916847556,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-6.333993471853778,-68.53413866708615,0.0
372,-7.377693988387064,-67.82515925769424,-2.836818730259389,-1.4614250521794914,1.225802023848856,1.225802023848856,2.444590437297087,2.444590437297087,-6.971560463161776,-67.09622965095618,0.0
