t,x1_est,x2_est,x1_std,x2_std,x1_real,x2_real,reset
118,-52.726731156550066,23.68942794118116,1.2136807377036614,1.2136807377036614,-53.999164887078415,23.040514342892493,0.0
119,-56.57855499984461,25.415759041688386,1.2136807377036614,1.2136807377036614,-57.84986301620013,26.01192211973499,0.0
120,-59.88238033067873,26.438320617765743,1.2136807377036614,1.2136807377036614,-60.40543070609551,28.404097942690164,0.0
121,-62.404903247000455,24.714049334735417,1.2136807377036614,1.2136807377036614,-62.78291847452833,24.276606587454136,0.0
122,-67.58715817222776,21.6226733046152,1.2136807377036614,1.2136807377036614,-66.88294405154643,20.015131103852596,0.0
123,-65.9649581431675,18.32458371334279,1.2136807377036614,1.2136807377036614,-67.02320234822463,19.63242671855465,0.0
124,-71.7140594375793,16.95034665557971,1.2136807377036614,1.2136807377036614,-74.17029389483882,16.922168832481457,0.0
125,-77.61936550500894,14.61322003364042,1.2136807377036614,1.2136807377036614,-79.26028643155131,14.980558847726932,0.0
126,-82.22883169729906,16.5306492389304,1.2136807377036614,1.2136807377036614,-82.67085624812115,14.415660236499534,0.0
127,-78.8291564962438,11.645756689034116,1.2136807377036614,1.2136807377036614,-79.0074755473425,12.683034666774613,0.0
128,-80.84967409493764,12.958379882935397,1.2136807377036614,1.2136807377036614,-81.13626012342074,14.259571626503185,0.0
129,-85.0527147911654,16.261246033477345,1.2136807377036614,1.2136807377036614,-84.95677430567353,17.286799263659407,0.0
130,-83.89348272652234,18.90988518107681,1.2136807377036614,1.2136807377036614,-83.118532689812,18.204996946837262,0.0
131,-81.52341401056923,20.663689692006223,1.2136807377036614,1.2136807377036614,-81.21861829143803,20.669444621424525,0.0
132,-77.5710540948034,23.88932364146267,1.2136807377036614,1.2136807377036614,-77.9368852780016,23.782627367175525,0.0
133,-78.46057346125835,20.254558593630918,1.2136807377036614,1.2136807377036614,-78.97065142862697,19.722371009158884,0.0
134,-77.17753037859207,22.015277655038297,1.2136807377036614,1.2136807377036614,-77.26929540437175,22.449534029046468,0.0
135,-70.964962144953,21.620412692624292,1.2136807377036614,1.2136807377036614,-71.4743868554429,20.472879321425513,0.0
136,-75.03846927579683,17.68229937376352,1.2136807377036614,1.2136807377036614,-74.21654182155919,17.00296803570445,0.0
137,-72.51398938557104,18.522194213182452,1.2136807377036614,1.2136807377036614,-74.36457485441692,17.314104148038524,0.0
138,-72.74888032011543,14.633369376075978,1.2136807377036614,1.2136807377036614,-73.04931420637932,14.27605515057747,0.0
139,-72.98081408798143,11.119428752896232,1.2136807377036614,1.2136807377036614,-71.9015746414834,11.968398787481682,0.0
140,-69.28484190724318,9.57474175677887,1.2136807377036614,1.2136807377036614,-68.11140653533467,10.23667961599863,0.0
141,-66.77706822781539,11.209930548513794,1.2136807377036614,1.2136807377036614,-66.91609382125911,10.505981434753856,0.0
142,-66.38086667849734,11.198236713161814,1.2136807377036614,1.2136807377036614,-65.91521060595645,9.873226116456935,0.0
143,-66.5995174992421,9.417577791383994,1.2136807377036614,1.2136807377036614,-66.18255024597833,9.074621718845403,0.0
144,-63.0331103713073,11.498608820980666,1.2136807377036614,1.2136807377036614,-62.552973262114136,11.673024470580092,0.0
145,-59.436279271399464,11.759892426673114,1.2136807377036614,1.2136807377036614,-58.92780430216673,12.585930844743082,0.0
146,-61.60110860980976,14.350767374452822,1.2136807377036614,1.2136807377036614,-62.156935026030666,14.827473026947633,0.0
147,-65.83859992142601,18.056948795009074,1.2136807377036614,1.2136807377036614,-65.29424576517832,18.23363400531378,0.0
148,-65.07493122225989,24.576490760163214,1.2136807377036614,1.2136807377036614,-68.58444141320925,24.00395851236967,0.0
149,-65.59299399413342,25.0073273816659,1.2136807377036614,1.2136807377036614,-67.26952779379654,23.861940875416867,0.0
150,-67.87662774577973,22.565343372625478,1.2136807377036614,1.2136807377036614,-68.83068329695786,23.596953928504103,0.0
151,-61.502187739554834,25.129168979139077,1.2136807377036614,1.2136807377036614,-62.17016396423968,25.80788565879205,0.0
152,-68.6797010801224,18.117566522876135,1.2136807377036614,1.2136807377036614,-65.59000138734474,19.287591334172564,0.0
153,-61.15019412207351,18.011731804554522,1.2136807377036614,1.2136807377036614,-62.30653140389199,19.35468354766819,0.0
154,-58.9972680149666,19.768676562566327,1.2136807377036614,1.2136807377036614,-61.96703630187249,20.84446465102573,0.0
155,-65.9366498046872,18.653201007224954,1.2136807377036614,1.2136807377036614,-67.63293926149385,18.429555131415896,0.0
156,-73.00480040674519,13.420562097784622,1.2136807377036614,1.2136807377036614,-73.50879205658573,14.310299839982605,0.0
157,-76.00789789773393,10.390406955967936,1.2136807377036614,1.2136807377036614,-76.6210598744719,11.789135293878683,0.0
158,-75.9819315971283,13.14692777263943,1.2136807377036614,1.2136807377036614,-76.34374640806642,13.891284461442877,0.0
159,-77.63777450289828,9.969710997048587,1.2136807377036614,1.2136807377036614,-76.98227344145981,8.557851737857074,0.0
160,-74.33839215320218,9.503580937216768,1.2136807377036614,1.2136807377036614,-73.10467612999965,8.484074442576295,0.0
161,-74.59079629937968,10.053454638958533,1.2136807377036614,1.2136807377036614,-73.93142547383312,10.46511942397932,0.0
162,-75.28695665982345,12.209465481447857,1.2136807377036614,1.2136807377036614,-74.13941773630184,11.38139739730072,0.0
163,-77.17584310403922,9.773494888832001,1.2136807377036614,1.2136807377036614,-76.06496904203946,8.297304063957974,0.0
164,-75.69861888017924,10.747375906710175,1.2136807377036614,1.2136807377036614,-74.63896758955809,9.251846948449696,0.0
165,-78.98827140199742,11.615782748844826,1.2136807377036614,1.2136807377036614,-77.88787460528832,9.643278260769419,0.0
166,-77.14221630189327,8.217237131477884,1.2136807377036614,1.2136807377036614,-76.65187978634907,10.092895375568027,0.0
167,-77.58366305341883,9.9289669551276,1.2136807377036614,1.2136807377036614,-76.38110604002092,10.286951223276272,0.0
168,-77.4441002160879,7.882148578596455,1.2136807377036614,1.2136807377036614,-77.55215040567674,9.287407080134074,0.0
169,-73.71691868369234,6.035192268960559,1.2136807377036614,1.2136807377036614,-72.03827907087027,5.37172591801831,0.0
170,-64.47652887976912,9.403008598917866,1.2136807377036614,1.2136807377036614,-63.53211942807719,10.017974777260665,0.0
171,-66.50889448887536,7.400274183697551,1.2136807377036614,1.2136807377036614,-68.62665167783365,8.157514477377184,0.0
172,-67.46415707392882,9.05013348862768,1.2136807377036614,1.2136807377036614,-67.43657952033583,7.634033632146542,0.0
173,-69.45916548544616,2.5719220274491876,1.2136807377036614,1.2136807377036614,-68.49189125635893,0.036604990502678625,0.0
174,-67.20790762625248,0.5118213576501165,1.2136807377036614,1.2136807377036614,-66.94380705452978,0.12671455044691082,0.0
175,-66.64381306726361,1.1747069965334722,1.2136807377036614,1.2136807377036614,-64.61856233796496,0.3001876870639426,0.0
176,-63.73225841741932,-1.4081047880438455,1.2136807377036614,1.2136807377036614,-62.56495609201797,-0.24191049861519331,0.0
177,-61.95762785162973,-0.7368695323071384,1.2136807377036614,1.2136807377036614,-62.38352247022706,-0.22288554984798434,0.0
178,-65.35014521469583,-1.6528768993501495,1.2136807377036614,1.2136807377036614,-63.1217290256266,-0.8935793830416666,0.0
179,-58.62198865695484,3.1550451086893845,1.2136807377036614,1.2136807377036614,-58.14116693873256,2.742192979790114,0.0
180,-58.11632434649787,7.460517911555328,1.2136807377036614,1.2136807377036614,-59.26397622005134,9.70527869577791,0.0
181,-56.21670387904485,11.282290203216004,1.2136807377036614,1.2136807377036614,-55.52281875494973,13.871158473840396,0.0
182,-57.78121833584528,15.068175398390771,1.2136807377036614,1.2136807377036614,-55.424227211190725,16.236302542133416,0.0
183,-60.032044868798884,17.189488212231133,1.2136807377036614,1.2136807377036614,-58.03947575500003,17.672856440871698,0.0
184,-60.057970641251345,20.599203580742728,1.2136807377036614,1.2136807377036614,-59.12532136025034,21.64071834472066,0.0
185,-60.668128437342496,21.00433067843055,1.2136807377036614,1.2136807377036614,-59.002863351452746,21.257700126970754,0.0
186,-61.01879466986069,20.157069267755404,1.2136807377036614,1.2136807377036614,-62.565403678968934,22.43655743499459,0.0
187,-59.08826208853322,26.382614712546697,1.2136807377036614,1.2136807377036614,-58.163110451215374,28.320181604648212,0.0
188,-57.99500366862508,29.66928063072251,1.2136807377036614,1.2136807377036614,-57.76786482367343,29.273317708227367,0.0
189,-51.29158848405437,29.186451412278608,1.2136807377036614,1.2136807377036614,-50.34765386654912,29.76278354540504,0.0
190,-49.13223816872763,30.130189511427545,1.2136807377036614,1.2136807377036614,-48.44241885189774,29.20022310253285,0.0
191,-44.59770135036017,25.950663220351,1.2136807377036614,1.2136807377036614,-44.66201085488807,25.391125076631166,0.0
192,-44.01869593665542,25.15164576810286,1.2136807377036614,1.2136807377036614,-44.396043423415264,25.798969959865847,0.0
193,-45.59694378670712,27.82055480383665,1.2136807377036614,1.2136807377036614,-46.89427966867593,26.329455151087934,0.0
194,-49.22678232803159,26.09399233287976,1.2136807377036614,1.2136807377036614,-51.59032377965896,26.214607238270695,0.0
195,-49.75119148114561,28.146732621884816,1.2136807377036614,1.2136807377036614,-48.94035333730462,30.15666053283891,0.0
196,-52.070203726047396,29.665112592786773,1.2136807377036614,1.2136807377036614,-51.8259257193015,30.955264060866366,0.0
197,-53.40034105786047,30.65030674382719,1.2136807377036614,1.2136807377036614,-53.33069984448887,30.92173578456097,0.0
198,-58.616542141640856,30.953956807411583,1.2136807377036614,1.2136807377036614,-58.7703141709655,29.35223232284998,0.0
199,-59.92980146399596,22.537303181067003,1.2136807377036614,1.2136807377036614,-59.450244463527625,21.531025122305103,0.0
200,-56.34908956991817,18.36787819130216,1.2136807377036614,1.2136807377036614,-56.034715609294246,16.416856359832085,0.0
201,-59.56321309815532,8.950435401484116,1.2136807377036614,1.2136807377036614,-61.46942178131847,8.933488173481997,0.0
202,-63.89596987680671,7.842304285588256,1.2136807377036614,1.2136807377036614,-63.765516770493996,6.598497459590675,0.0
203,-62.615912483939375,7.821610979291048,1.2136807377036614,1.2136807377036614,-63.00647005248373,7.466626234669161,0.0
204,-62.18765286942345,4.705942648112695,1.2136807377036614,1.2136807377036614,-60.38295361512243,5.737334213574033,0.0
205,-59.528229581787095,3.7370303579606614,1.2136807377036614,1.2136807377036614,-56.43556815584327,3.788856278277585,0.0
206,-58.229219020394645,3.2694484949471945,1.2136807377036614,1.2136807377036614,-58.51399683154386,4.615865717833996,0.0
207,-61.710723520295865,-1.1430149256517184,1.2136807377036614,1.2136807377036614,-62.63876960303868,-2.6531014357324327,0.0
